number,url,title,author,created,updated,draft,base,files_changed,additions,deletions,mergeable_state,area,real,relevant_to_main,security,safe_to_merge,useful,verdict,human_attention,effort,blocking,duplicate_of,security_notes,notes
11429,https://github.com/cline/cline/pull/11429,fix(vscode): force temperature 1 for kimi-k2 models on moonshot.ai endpoint,rodboev,2026-06-10,2026-06-10,False,main,2,146,0,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; apps/vscode/src/core/api/providers/openai.ts deleted; CI failing,,"Reads `openAiBaseUrl` and does a lowercase `.includes(""moonshot.ai"")` substring check to set a temperature. No new deps, no new outbound endpoints (moonshot.ai only appears as a test fixture and a match string), no credentials.","Hardcodes `temperature = 1` when the base URL contains moonshot.ai and the model id starts with kimi-k2, with the author's own TODO(#10985) saying this should be a `supportsTemperature` model field. The file no longer exists on main and the hostname-substring approach would not be the right shape in the SDK provider registry anyway."
11430,https://github.com/cline/cline/pull/11430,fix(vscode): add timeout to shell integration stream to prevent indefinite hangs,rodboev,2026-06-10,2026-06-10,False,main,4,382,4,dirty,vscode-new,yes,no,clean,no,low,close-obsolete,no,medium,conflicts with main; superseded by the markerless idle/quiet timeout work already on main,,"Adds an AbortController-based 30s timeout around stream iteration and a new exported constant. No new deps, no network, no shell invocation changes, no auth or approval changes.","Races `iter.next()` against an abort signal with a flat SHELL_INTEGRATION_STREAM_TIMEOUT_MS = 30_000. Main's VscodeTerminalProcess.ts has since been rewritten around an OSC 633 parser with MARKERLESS_FIRST_DATA_TIMEOUT (10s), MARKERLESS_IDLE_TIMEOUT (3s), MARKERLESS_MAX_QUIET_TIME and EXIT_CODE_EVENT_TIMEOUT_MS, which already bounds the indefinite-wait case more precisely than a single global deadline."
11431,https://github.com/cline/cline/pull/11431,fix(vscode): route hasHook through discovery cache to prevent task-start scan,rodboev,2026-06-10,2026-06-10,False,main,2,63,1,blocked,vscode-new,yes,yes,clean,after-rebase,medium,review-and-merge,yes,trivial,conflicts with main; e2e (windows) failing (looks like a flake unrelated to the change),,"Two-line change swapping a filesystem scan for the existing in-process cache, plus tests. No new deps, no network, no shell, no change to which scripts are discovered or how they are executed.","Makes `HookFactory.hasHook()` use `HookDiscoveryCache.getInstance().get()` instead of `HookFactory.findHookScripts()`. Confirmed still applicable: on main, hook-factory.ts already uses exactly this dynamic-import-then-cache idiom in `getHookInfo` (line 731) and `createHook` (line 780), while `hasHook` (line 741) is the last direct-scan holdout, so this closes a real inconsistency and a per-task-start directory scan. Consequence to note in review: hasHook inherits the cache's staleness window, same as the other two callers."
11432,https://github.com/cline/cline/pull/11432,fix(vscode): detect and break infinite loop when tool is blocked in Plan mode,rodboev,2026-06-10,2026-06-10,False,main,2,184,1,dirty,legacy-dead-paths,partly,no,clean,no,low,close-obsolete,no,small,conflicts with main; apps/vscode/src/core/task/ToolExecutor.ts deleted; the mistake-limit setting it writes to was removed,,"Only touches the plan-mode tool-restriction error branch to add repeat counting; it does not loosen the plan-mode restriction itself, so the permission model is unchanged. No new deps, no network, no shell.","Adds `checkRepeatedToolCall` bookkeeping to ToolExecutor's plan-mode-blocked branch and escalates to `maxConsecutiveMistakes`. ToolExecutor.ts is gone from main and commit e4091c368 ('Stop the task at the mistake limit like the CLI and remove the max-mistakes setting') removed the setting it writes. The accompanying test is also misleading: it defines a local `simulateBlockedPlanModeCall` helper that re-implements the production logic, so it never exercises ToolExecutor at all."
11433,https://github.com/cline/cline/pull/11433,fix(vscode): reset button processing state after file approval,rodboev,2026-06-10,2026-06-11,False,main,2,376,4,dirty,vscode-new,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; already fixed differently on main,,"Pure webview React state change (`.catch` replaced with `.finally`) plus a new component test. No new deps, no network, no change to what the approve/reject actions actually send.","Changes ActionButtons' `handleActionClick` so `setIsProcessing(false)` runs in `.finally` rather than only on error. Main has since replaced the whole `isProcessing` boolean with an `askIdentity`-keyed `processedAskRef` latch that is naturally cleared by a new ask, which fixes the stuck-buttons symptom more robustly; main also already has an ActionButtons.test.tsx."
11434,https://github.com/cline/cline/pull/11434,(fix) Browser bundler and vscode biome settings overrides,michaelhabibi,2026-06-10,2026-06-10,False,main,4,32,1,dirty,sdk-agents,yes,yes,clean,after-changes,medium,review-and-merge,yes,trivial,conflicts with main; the .vscode/settings.json half already landed via #11788,,"Build config and editor settings only: a second Bun build target, a one-line `export * from ""./index""` browser entry, an exports-map reordering, and per-language Biome formatter pins in .vscode/settings.json. No new deps, no network, no scripts, no runtime code.","Follow-up to the merged #11416. The still-valid part is real: sdk/packages/agents/package.json on main still maps the `browser` condition to `./dist/index.js`, which is the Node-target bundle, and bun.mts only emits that one target. The .vscode/settings.json hunks are now redundant ([javascript]/[typescript] overrides already exist on main; only [json]/[jsonc] would be new). Ask the author to drop the settings hunks and add the `result.success` guard Greptile flagged in bun.mts."
11435,https://github.com/cline/cline/pull/11435,"feat(sdk,cli): complete agent profiles support",saoudrizwan,2026-06-10,2026-06-15,True,main,35,1115,88,dirty,mixed,yes,yes,clean,no,high,maintainer-internal,no,large,draft; conflicts with main; Test (ubuntu/windows) failing,,"Cline team PR. Reviewed the file list and diff shape: CLI TUI wiring, an agent-selector dialog, subagent prompt plumbing and vitest config aliases. No new third-party dependencies, no new network endpoints, no shell execution, no changes to the tool auto-approval model in this PR.","Cline team in-flight work (saoudrizwan) adding `--agent` profile support across @cline/shared prompts, @cline/core subagent prompts and the CLI TUI. abeatrix has already approved it and saoudrizwan posted a follow-up fix commit; the team is actively driving it. Agent-profile code has not landed on main yet, so this stack is still live."
11448,https://github.com/cline/cline/pull/11448,"feat(cli,sdk): agent profile plugin restrictions and cline agent install",saoudrizwan,2026-06-11,2026-06-15,True,saoudrizwan/agent-profiles,37,2094,300,clean,mixed,yes,yes,minor-concerns,no,high,maintainer-internal,no,large,draft; stacked on saoudrizwan/agent-profiles rather than main,,"Cline team PR, but it does add a remote-install surface worth the team's own security pass: apps/cli/src/commands/install-utils.ts fetches single files over the network and writes them into the user's plugin/agent directories. Mitigations already present in the diff are good — https is enforced (`Remote ... file URLs must use https`), github.com blob/raw URLs are rewritten to raw.githubusercontent.com, filenames are sanitized (`sanitizeSegment`) and derived from the URL path, a byte cap (`maxBytes`) and request timeout are enforced, and `runCommand` uses `spawn(command, args)` with no `shell: true`. There is no signature or checksum verification, so this is a supply-chain trust decision the team should make consciously.","Second PR in saoudrizwan's agent-profiles stack (base branch saoudrizwan/agent-profiles), adding per-profile plugin restrictions and `cline agent install`. Draft and clean; the team owns the review."
11453,https://github.com/cline/cline/pull/11453,feat: add Atomic Chat local LLM provider,yanalialiuk,2026-06-11,2026-06-29,False,main,27,330,17,dirty,mixed,yes,yes,minor-concerns,after-changes,low,needs-author-work,yes,medium,conflicts with main; removes proto `reserved` markers; needs a maintainer policy decision on adding a vendor-specific provider,,"No credential leakage and no unexpected outbound endpoints: the provider defaults to http://127.0.0.1:1337/v1 for both inference and model discovery, the only external URL is the https://atomic.chat docs link, the API key goes through the existing Secrets/state-keys machinery, and `resolveModelsEndpoint` parses with `URL.canParse` rather than string concatenation. Two things a reviewer should still weigh: (1) the diff deletes the `reserved 144, 154, 176;` / `reserved ""cline_web_tools_enabled"", ...` markers from the Settings message in apps/vscode/proto/cline/state.proto, which reopens retired field numbers for reuse and is a wire-compat hazard (main still relies on reserved markers throughout that message); (2) it adds first-class branding for a third-party vendor whose provenance the maintainers have not vetted.","Adds `atomic-chat` as a builtin openai-compatible provider across proto, webview settings, provider-keys and sdk/packages/llms/src/providers/builtins.ts. Functionally it is a near-clone of the existing LM Studio / generic openai-compatible entries, and users can already point those at a custom base URL, so the marginal value is low against a fairly wide surface (27 files). The proto reserved-marker removal and the renumbered/duplicated Settings fields suggest the branch was regenerated against a stale base."
11486,https://github.com/cline/cline/pull/11486,fix(cli): pass persisted provider endpoint config,saoudrizwan,2026-06-11,2026-06-11,False,main,2,51,1,dirty,cli,yes,yes,clean,after-rebase,medium,maintainer-internal,no,trivial,conflicts with main,,"Threads an already-persisted provider config (baseUrl/headers) from ProviderSettingsManager into the runtime Config instead of dropping it. No new deps, no new endpoints (the base URL comes from the user's own saved settings), no shell. Headers are passed through unchanged, so no new secret exposure path.","Small Cline team fix: `persistedProviderConfig` was scoped inside a try block and never used, so a saved custom endpoint (e.g. a local Ollama baseUrl) was ignored in one-shot prompt mode. Hoists the variable and passes baseUrl/headers/providerConfig into the Config. Team-owned; just needs a rebase."
11505,https://github.com/cline/cline/pull/11505,"feat(cli): wire up agent profile tools, skills, provider, and model",saoudrizwan,2026-06-12,2026-06-15,True,saoudrizwan/agent-profile-plugins,24,1233,116,clean,mixed,yes,yes,clean,no,high,maintainer-internal,no,large,draft; stacked on saoudrizwan/agent-profile-plugins rather than main,,"Cline team PR. The security-relevant part is that agent profiles can now restrict the tool set (apps/cli/src/runtime/agent-profile-tools.ts and runtime-builder), which narrows rather than widens the permission model. No new third-party dependencies, no new network endpoints, no shell execution added.","Third PR in saoudrizwan's agent-profiles stack, wiring per-profile tools/skills/provider/model selection through the CLI runtime and the SDK's configured-agent config. Draft and clean; the team owns the review."
11521,https://github.com/cline/cline/pull/11521,fix(sdk): guide repeated run_commands polling loops,robinnewhouse,2026-06-13,2026-06-25,False,main,2,550,10,blocked,sdk-core,yes,yes,clean,no,medium,maintainer-internal,no,medium,changes requested by abeatrix; mergeable_state=blocked,,"No new deps, no network, no credential handling. It does not widen what commands may run — it can only skip execution. Worth noting for review that it introduces process-wide module-level mutable state (`workspaceMutationRevisionByScope`, `previousRunCommandResultsByScope`, `pollingCommandCountsByScope` in sdk/packages/core/src/extensions/tools/definitions.ts) keyed by runId/sessionId with a 200-scope LRU, which is shared across all sessions in a hub process.","Cline team PR (robinnewhouse) that skips exact repeated run_commands invocations since the last workspace mutation and appends polling guidance after 3 similar commands. abeatrix has already requested changes, arguing that exact-string matching is trivially bypassed (`tail -5` vs `tail -n 5`) while suppressing legitimate re-reads, and that the tool should always execute and only add guidance. The team is handling it."
11524,https://github.com/cline/cline/pull/11524,fix: /reportbug fails silently with native tool calling models,LifeJiggy,2026-06-13,2026-06-13,False,main,3,41,3,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; apps/vscode/src/core/slash-commands/ and core/prompts/commands.ts deleted; CI failing,,"Appends a static sentence to a prompt template when native tool calling is active, and adds tests. No new deps, no network, no shell, no user-controlled interpolation into the prompt.",Gives `reportBugToolResponse` a `willUseNativeTools` parameter so it mirrors the existing `deepPlanningToolResponse` treatment. Both production files are gone from main — the slash-command layer moved to apps/vscode/src/core/controller/slash/ and reportbug now only survives as shared type/telemetry constants. Also fails `test` and `vscode test (windows-latest)`.
11525,https://github.com/cline/cline/pull/11525,fix: add API key field to LM Studio provider,LifeJiggy,2026-06-13,2026-07-24,False,main,7,20,1,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,small,conflicts with main; apps/vscode/src/core/api/providers/lmstudio.ts deleted; already covered by the SDK provider config,,"The key is registered in SECRETS_KEYS and ProviderToApiKeyMap, so it follows the existing secret-storage path rather than plain global state, and it is only sent to the user's own configured LM Studio base URL. No new deps, no new endpoints, no logging of the key.","Adds `lmStudioApiKey` through proto, state-keys, provider-keys and the LMStudioProvider settings UI so authenticated LM Studio servers work. The handler it patches no longer exists; on main the lmstudio provider is a builtin in sdk/packages/llms/src/providers/builtins.ts with `apiKeyEnv: [""LMSTUDIO_API_KEY""]`, and sdk/packages/core/src/services/providers/provider-config-fields.ts already exposes an `apiKey` field for all non-OAuth providers, so the capability exists on the new path."
11532,https://github.com/cline/cline/pull/11532,fix(vscode): avoid false shell integration warnings in WSL terminals,rodboev,2026-06-13,2026-06-15,False,main,2,48,20,dirty,vscode-new,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; the `no_shell_integration` event no longer exists,,"Returns the already-captured terminal snapshot from an existing helper instead of calling `getLatestTerminalOutput()` a second time, and gates one event emit on it. No new deps, no network, no change to what commands run.","Suppresses the `no_shell_integration` warning when the clipboard fallback actually captured output (the WSL case), and removes a redundant duplicate `getLatestTerminalOutput()` call. On main the `no_shell_integration` event has been removed from VscodeTerminalProcess entirely — only a NO_SHELL_INTEGRATION telemetry enum remains — and the surrounding run loop was rewritten around the OSC 633 parser."
11533,https://github.com/cline/cline/pull/11533,fix(vscode): clarify partial-line replace_in_file match failures,rodboev,2026-06-13,2026-06-15,False,main,3,150,10,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,small,conflicts with main; core/assistant-message/diff.ts and core/task/tools/handlers/ deleted,,"Adds a read-only scan over the in-memory original file content to pick a better error string, plus a telemetry classification tweak. No new deps, no network, no shell, and the error message embeds only the model's own SEARCH block, which was already echoed back before.","Adds `hasPartialLineMismatch`/`getSearchMismatchError` so a SEARCH block that matches only a substring of a longer line reports that instead of the generic 'does not match anything in the file'. Both diff.ts and WriteToFileToolHandler.ts are gone from main and the 'does not match anything in the file' string does not appear anywhere in the tree, so the diff engine this targets has been replaced by the SDK's editor tool."
11536,https://github.com/cline/cline/pull/11536,fix(core): accept structured option objects in ask_question,JSap0914,2026-06-14,2026-06-14,False,main,3,128,2,dirty,sdk-core,yes,yes,clean,after-rebase,medium,review-and-merge,yes,small,conflicts with main (mergeable_state dirty); schemas.ts has drifted since the branch was cut,,"Read the full diff: three files, no new dependencies, no network/filesystem/shell access. Change is a Zod schema widening plus a pure string-normalization helper (normalizeAskQuestionOptions). The advertised inputSchema (zodToJsonSchema(AskQuestionInputSchema)) is deliberately left as string[], so the model-facing contract is unchanged and no new prompt-injection surface is added. Executor signature stays string[].","Confirmed on main that sdk/packages/core/src/extensions/tools/definitions.ts still validates ask_question with the strict AskQuestionInputSchema, so the defect (models emitting {key,label,description} option objects blow up Zod validation) is live. The approach mirrors the repo's own established tolerance pattern (ReadFilesInputUnionSchema, RunCommandsInputUnionSchema, ApplyPatchInputUnionSchema all exist on main). CI was green; only merge conflicts and the two cosmetic Greptile nits (unreachable `?? """"` fallback, duplicated question field) stand in the way."
11548,https://github.com/cline/cline/pull/11548,fix(llms): route Chutes reasoning controls by model family,TheStreamCode,2026-06-14,2026-07-25,False,main,5,521,0,blocked,sdk-llms,yes,yes,clean,yes,medium,review-and-merge,yes,medium,CI red only from unrelated pre-existing failures (apps/cli TUI e2e `Dialog dismissal` and a Windows-only vscode job); needs a maintainer approval,,"Reviewed the whole diff: one new file (routing/chutes-thinking.ts) plus a rule registration and tests. No new dependencies, no new endpoints (Chutes' base URL already ships in providers.generated.ts on main), no shell/exec, no credential handling. The change only computes a chat_template_kwargs object that is attached to an existing provider-options bucket.","Author already rescoped this after #12204 landed: the manual Chutes registration was dropped and only per-family reasoning routing remains, which is genuinely not covered by the generated provider specs. I verified every helper it imports (resolveModelFamily, normalizeRoutingValue, isQwenModel, buildProviderAndAliasPatch) exists on main and that no chutes rule is registered in provider-option-rules.ts. I pulled the failing CI log: the only failure is apps/cli `interactive/chat.test.ts` dialog-dismissal, which this PR cannot touch and which AGENTS.md already documents as CLI e2e drift."
11558,https://github.com/cline/cline/pull/11558,docs: add TokenMix to the OpenAI-compatible providers list,TokenMixAi,2026-06-15,2026-07-03,False,main,1,12,0,blocked,docs,yes,yes,minor-concerns,after-changes,low,review-and-merge,no,trivial,needs a maintainer policy decision on whether vendor-submitted gateway listings are accepted; awaiting approval,,"Docs-only, no code. The concern is editorial rather than technical: docs/provider-config/other-30-plus-providers.mdx would instruct users to point Cline's OpenAI Compatible provider at https://api.tokenmix.ai/v1, i.e. route their prompts and an API key through a third-party gateway that the Cline team has not vetted. The PR is filed by the vendor's own GitHub account (TokenMixAi), so it is self-listing.","Twelve added lines: a menu entry and a setup section placed alphabetically between Together and Vercel AI Gateway, matching the page's existing format exactly (verified the surrounding Together entry on main). Technically correct and harmless, but it is pure vendor self-promotion with no upstream code integration, so accepting it is a documentation-policy call rather than a code review."
11560,https://github.com/cline/cline/pull/11560,fix(vscode): persist mode-specific openai base urls,Manpreet2298,2026-06-15,2026-06-26,False,main,6,65,25,dirty,vscode-new,partly,unsure,clean,after-changes,medium,needs-author-work,no,medium,conflicts with main; the webview half fights main's SDK-native provider-config direction; behavioural bug in the change handler,,"Reviewed all six files: new optional string proto fields, state-key defaults, and proto-conversion passthrough for a user-supplied base URL. No new deps, no credential handling, no shell/exec, no TLS or auth changes. The base URL still flows through the existing normalizeSdkBaseUrl sanitizer.","The underlying issue (#11446) is real and resolveBaseUrl on main still ignores mode. But main's OpenAICompatible.tsx has since been rewritten around useProviderConfig(providerId)/write({baseUrl}), and this PR reverts that seam back to legacy handleModeFieldChange plus two new legacy proto/state fields, which is the opposite of where the extension is heading. It also has a real defect: handleOpenAiBaseUrlChange early-returns when the typed value equals the generic URL, so a user can never clear a mode-specific override back to the inherited value, and it carries an unrelated String(value) churn edit in the custom-headers block. Author has pinged maintainers twice with no reply."
11589,https://github.com/cline/cline/pull/11589,"[Aikido] Fix 5 security issues in glib, http, smallvec and 1 more",aikido-autofix[bot],2026-06-16,2026-06-16,False,main,1,44,50,blocked,deps,partly,no,minor-concerns,after-changes,low,needs-author-work,no,trivial,conflicts with main; unintended windows-core/windows-result downgrades; claimed glib fixes are absent from the diff,,"Lockfile-only change to apps/examples/menubar/src-tauri/Cargo.lock. The diff does NOT match its description: it claims to fix two glib CVEs, but glib is untouched (still 0.18.5 on main and in the PR). It also collapses the dual windows-core 0.61.2/0.62.2 entries down to a single 0.61.2 and deletes windows-result 0.4.1 / windows-strings 0.5.1, i.e. it silently downgrades unrelated transitive crates because the lock was regenerated on a stale base. All bumped crates come from crates.io with checksums; no new first-party dependency, no build scripts added.","Confirmed on main that http 1.4.0, serde_with 3.18.0 and smallvec 1.15.1 are still pinned, so the bumps themselves are not obsolete. However this is a lockfile for an example Tauri menubar app that is not shipped to users, all five CVEs are MEDIUM Rust memory-safety issues in transitive crates, and the PR has been untouched since 2026-06-16. Cleanest path is to let the bot regenerate against current main rather than review this one."
11593,https://github.com/cline/cline/pull/11593,Fix CLI runtime config defaults ENG-2202,robinnewhouse,2026-06-17,2026-06-25,False,main,12,146,144,dirty,sdk-core,yes,yes,clean,after-rebase,medium,maintainer-internal,no,medium,conflicts with main (mergeable_state dirty),,"Read the diff across 12 SDK files: config materialization and field forwarding only (apiTimeoutMs, hookErrorMode, thinking, reasoningEffort, thinkingBudgetTokens, maxTokensPerTurn), plus removal of the parallel tool-execution branch. No new deps, no network, no shell, and removing concurrency makes tool execution strictly sequential, which is the safer default for approval ordering.","Cline team work (robinnewhouse, Linear ENG-2202) already approved by BarreiroT. Verified on main that maxParallelToolCalls, resolveToolExecution and the toolExecution switch all still exist in sdk/packages/shared and sdk/packages/core, so nothing here has landed yet. Only merge conflicts stand between it and merge; the team owns the rebase."
11594,https://github.com/cline/cline/pull/11594,fix(cli): default thinking for reasoning models,saoudrizwan,2026-06-17,2026-06-17,True,main,3,162,27,dirty,cli,yes,yes,clean,after-rebase,medium,maintainer-internal,no,medium,still a draft; conflicts with main; untouched since 2026-06-17,,"Three CLI files. Change only reorders when the selected model ID is resolved and derives a default reasoning effort from the existing knownModels[...].capabilities metadata. No new deps, no network calls, no credential or shell handling; the TUI change only affects which thinking level is preselected in a dialog.","Cline team draft by saoudrizwan. Defaults thinking to medium for models advertising the `reasoning` capability unless the user set --thinking or has a persisted preference, and preserves an in-session Off choice when re-selecting the current model in /model. Coherent and test-covered, but it is the author's own draft that has sat for over a month, so it is theirs to finish or drop."
11629,https://github.com/cline/cline/pull/11629,fix: retain MCP server key mapping through transient disconnects,rodboev,2026-06-18,2026-06-18,False,main,3,9,17,blocked,vscode-new,yes,yes,clean,yes,medium,review-and-merge,yes,small,"needs a maintainer approval (CI fully green, including both vscode test matrices and all three e2e platforms)",,"Reviewed all three files. Pure in-memory Map lifetime change in McpHub plus removal of a now-redundant callback from the reconnect handler. No new deps, no network calls, no credential handling, no change to MCP tool auto-approval. Permanent-removal paths (settings deletion, dispose) still delete the key, so the map does not grow unbounded on normal teardown.","Verified the bug still exists on main: McpHub.ts lines 488/498/570 delete the UID mapping inside transient onerror/onclose handlers, and deleteConnection does no key cleanup, so a reconnected server gets a fresh UID and in-flight tool calls referencing the old UID fall through getMcpServerByKey's `|| key` fallback. The fix moves deletion into deleteConnection behind a preserveKey opt-out and threads it through all five reconnect call sites. Net -8 lines. Caveat: the PR body claims it adds tests proving the fix, but it only deletes now-stale assertions; there is no new regression test for the preserved-key path."
11630,https://github.com/cline/cline/pull/11630,fix(cli): require --retries value argument and allow --json session resume with --id,rodboev,2026-06-18,2026-06-18,False,main,4,24,10,blocked,cli,yes,yes,clean,after-changes,medium,needs-author-work,no,small,"no tests added despite two behaviour changes; `--retries 0` now exits 1 instead of warning, which is an unannounced CLI contract change; needs approval",,"Four CLI files, argument-validation only. No new deps, no network, no shell/exec, no path handling. Commander's `<value>` form only tightens input validation; the added typeof guard before .trim() removes a crash path rather than adding one.","Both bugs reproduce on main: program.ts still declares `--retries [value]` (so a bare flag yields boolean true and crashes on .trim()), and main.ts line 856 still gates JSON mode on `args.interactive || !args.prompt` without exempting --id. The fixes are correct in shape, but the diff adds zero tests, existing helpers.test.ts still asserts invalidRetries === ""0"" while main.ts's behaviour for that case changes from warn to exit(1), and letting --json through assertInteractivePreflight for a resume opens the TUI while JSON output mode is nominally active, which is a semantics question a maintainer should settle."
11633,https://github.com/cline/cline/pull/11633,Add providers.json files for different envs,BarreiroT,2026-06-18,2026-07-24,False,main,2,54,1,dirty,sdk-core,yes,yes,clean,after-rebase,medium,maintainer-internal,no,small,conflicts with main (mergeable_state dirty),,"Two files in sdk/packages/shared. resolveProviderSettingsPath gains a filename suffix derived from the already-existing resolveClineEnvironment(), with an explicit staging/local allowlist so any unrecognized value falls back to providers.json. No new deps, no network, and the CLINE_PROVIDER_SETTINGS_PATH override still takes precedence. Credentials stay in the same directory with the same permissions; they are only split per environment, which reduces the chance of a production token being sent to a staging endpoint.","Cline team work by BarreiroT, already approved by saoudrizwan and abeatrix, with an open question from dominiccooney about what triggers state refresh when the environment flips. Verified sdk/packages/shared/src/runtime/cline-environment.ts exists on main and that resolveProviderSettingsPath there is still unconditional. Only the rebase is outstanding."
11638,https://github.com/cline/cline/pull/11638,fix(execute_command): stop model self-approving shell commands,Jiangrong-W,2026-06-18,2026-07-01,False,main,3,328,8,dirty,legacy-dead-paths,yes,no,clean,no,low,close-obsolete,no,medium,targets files deleted from main: apps/vscode/src/core/task/tools/handlers/ExecuteCommandToolHandler.ts and the whole tools/utils/ directory no longer exist,,"The new commandSafety.ts is defensive: it tokenizes with the already-vendored shell-quote, anchors a conservative deny-list at each segment's executable position, and can only ever escalate toward asking the human (it never relaxes approval). No new deps, no network, no exec. It does not weaken the permission model. It just no longer applies to any code that exists.","The premise no longer holds on main. ExecuteCommandToolHandler.ts, COMMAND_REQ_APP_STRING and the model-supplied requires_approval flag are all gone; the SDK migration replaced that logic with apps/vscode/src/sdk/sdk-tool-policies.ts, where command tools are gated purely on the harness-side executeSafeCommands setting with no model self-classification in the decision. The only surviving mention of requires_approval is a prompt string in core/prompts/responses.ts. Worth telling the author the finding was legitimate but needs re-filing against the SDK tool-policy path if maintainers still want a harness-side destructive-command check."
11679,https://github.com/cline/cline/pull/11679,docs: add Extending Cline Marketplace page,reneehuang1,2026-06-19,2026-06-19,False,main,6,67,20,dirty,docs,yes,yes,clean,after-changes,medium,maintainer-internal,no,small,conflicts with main; the new page still ships a literal `(TO-BE-UPDATED)` placeholder next to the marketplace URL,,"Docs and navigation only: a new marketplace.mdx, a docs.json nav regroup, deletion of the stub hooks.mdx, and four redirect retargets to /sdk/plugins. No code, no dependencies, no endpoints beyond the existing cline.bot marketplace link.","Cline team docs work by reneehuang1. Confirmed nothing has landed on main: docs/customization/ still has hooks.mdx and no marketplace.mdx, and docs.json has no ""Extending Cline"" group. Not mergeable as-is because of the TO-BE-UPDATED placeholder in the Browse section, but that is the author's own copy to finish."
11683,https://github.com/cline/cline/pull/11683,docs(mcp): correct the CLI MCP config path (#11671),ken-jo,2026-06-19,2026-06-20,False,main,2,2,2,clean,docs,yes,yes,clean,yes,medium,merge-ready,yes,trivial,none,,"Two-line docs correction. No code, no dependencies, no links to new hosts.","Verified against main: resolveMcpSettingsPath() in sdk/packages/shared/src/storage/paths.ts resolves to resolveClineDataDir()/settings/cline_mcp_settings.json (CLINE_MCP_SETTINGS_FILE_NAME), overridable via CLINE_MCP_SETTINGS_PATH, while docs/mcp/mcp-overview.mdx line 28 and docs/tools-reference/all-cline-tools.mdx line 46 still point at the nonexistent ~/.cline/mcp.json. This PR fixes both occurrences and documents the env override; it is approved by reneehuang1 and mergeable_state is clean. Just needs someone to press merge. Prefer this over #11723, which fixes only one of the two files."
11689,https://github.com/cline/cline/pull/11689,fix(vscode): stop terminal stream on shell completion marker,Manpreet2298,2026-06-20,2026-06-26,False,main,1,10,2,dirty,vscode-new,yes,no,clean,no,low,close-obsolete,no,small,"the code it patches was rewritten on main by #11972; conflicts, and the premise no longer applies",,"Single file, ten added lines: a boolean flag, a tightened OSC 633 regex, and an early `break` out of the read loop. No new deps, no network, no command construction, no change to command approval.","VscodeTerminalProcess.ts on main no longer parses `]633;D` in the read() stream at all. Commit 12703bf40 (""Improve VS Code terminal reliability: OSC 633 parser, exit codes, timeout handling"", #11972) replaced the whole loop with a chunk-boundary-safe parser plus idle timeouts, and its inline comment explicitly states the CommandFinished (D) marker never reaches the read() stream because VS Code's shell-integration addon consumes it. Separately, the PR's tightened regex requiring a BEL (\x07) terminator would have silently dropped ST-terminated OSC sequences, which its own description never mentions."
11696,https://github.com/cline/cline/pull/11696,fix(mcp): preserve streamableHttp transportType,jstar0,2026-06-21,2026-06-24,False,main,2,45,3,blocked,vscode-new,yes,yes,clean,yes,medium,review-and-merge,yes,small,needs a maintainer approval (CI green),,"Two files, schema-only. Tightens which legacy transportType values the SSE union branch will accept and rejects unknown ones outright, so it narrows rather than widens the accepted config surface. No new deps, no network, no credential handling.","Bug confirmed on main: in apps/vscode/src/services/mcp/schemas.ts the SSE branch is listed first and falls back to `|| ""sse""` regardless of transportType, so a config with transportType: ""streamableHttp"" is swallowed by the SSE branch and Cline issues an SSE GET instead of the Streamable HTTP initialize flow. The fix makes finalType undefined for non-SSE legacy values so the .refine() rejects and the union falls through to the streamableHttp branch, and treats both ""http"" and ""streamableHttp"" as Streamable HTTP while still rejecting unknown values. Four focused regression tests cover the full McpSettingsSchema path."
11699,https://github.com/cline/cline/pull/11699,fix(webview): show vertical scrollbar in command output panel (#11332),minh2416294,2026-06-21,2026-07-14,False,main,2,72,1,blocked,vscode-new,yes,yes,clean,yes,medium,review-and-merge,yes,trivial,needs a maintainer approval (CI green),,"One CSS class name added to an existing cn() call plus a new test file. No new deps, no network, no data handling of any kind.","Verified both halves on main: CommandOutputRow.tsx line 100 still carries `overflow-y-auto` with a max-h cap and no scrollbar-styling class, and main.css defines .code-block-scrollable with an opaque ::-webkit-scrollbar-thumb background (the comment there even says it has the side effect of always showing the scrollbar). So the class reuse is exactly right and introduces no new CSS. Three unit tests assert the class, the height cap, and the overflow-y-visible short-output path."
